id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
kaspa,0.086006,2264278511,-2.71207,0.091475,0.085877,0.207411,0.00017105,29-08-2025 13:16:00
cosmos,4.62,2152163891,1.41739,4.8,4.55,44.45,1.16,29-08-2025 13:16:00
vechain,0.02471312,2124511542,-1.60087,0.02584834,0.02462714,0.280991,0.00191713,29-08-2025 13:16:00
algorand,0.242417,2112162907,-3.57153,0.255957,0.242142,3.56,0.087513,29-08-2025 13:16:00
gatechain-token,16.92,2020890291,-0.01768,17.4,16.86,25.94,0.25754,29-08-2025 13:16:00
rocket-pool-eth,4990.03,2010465089,-4.08774,5259.64,4987.49,5618.08,887.26,29-08-2025 13:16:00
fasttoken,4.53,1955335122,-0.23037,4.54,4.52,4.61,0.398142,29-08-2025 13:16:00
susds,1.065,1952351314,0.00121,1.065,1.065,1.088,0.961716,29-08-2025 13:16:00
jupiter-perpetuals-liquidity-provider-token,5.46,1945811064,-0.71724,5.57,5.46,5.57,0.146839,29-08-2025 13:16:00
kelp-dao-restaked-eth,4610.11,1853987632,-3.76248,4846.64,4595.5,5190.42,1459.69,29-08-2025 13:16:00
pudgy-penguins,0.02925545,1838986746,-3.9372,0.03078964,0.0292038,0.068447,0.00371517,29-08-2025 13:16:00
story-2,6.05,1835167483,-0.03122,6.17,6.01,7.31,1.0,29-08-2025 13:16:00
render-token,3.52,1823809060,-2.89528,3.7,3.52,13.53,0.03665669,29-08-2025 13:16:00
worldcoin-wld,0.92384,1818896090,-2.16388,0.962434,0.921784,11.74,0.583741,29-08-2025 13:16:00
sei-network,0.294622,1766238512,-1.07079,0.30935,0.292979,1.14,0.095364,29-08-2025 13:16:00
kucoin-shares,13.66,1739991378,2.20043,13.79,13.35,28.83,0.342863,29-08-2025 13:16:00
bfusd,0.998927,1698150028,-0.02354,0.99951,0.998796,1.0,0.998554,29-08-2025 13:16:00
official-trump,8.4,1676185529,-1.09319,8.66,8.38,73.43,4.29,29-08-2025 13:16:00
stakewise-v3-oseth,4614.22,1655956287,-3.95959,4861.04,4613.84,5206.8,1459.73,29-08-2025 13:16:00
fetch-ai,0.624161,1622316571,-3.63985,0.655843,0.622788,3.45,0.00816959,29-08-2025 13:16:00
bonk,2.087e-05,1610698037,-2.27023,2.174e-05,2.081e-05,5.825e-05,8.6142e-08,29-08-2025 13:16:00
kinetic-staked-hype,44.6,1600957287,-8.1003,48.92,44.5,51.18,35.62,29-08-2025 13:16:00
liquid-staked-ethereum,4735.99,1583749766,-3.89282,4989.87,4741.1,5334.09,1384.61,29-08-2025 13:16:00
filecoin,2.31,1580063054,-0.42162,2.39,2.31,236.84,1.98,29-08-2025 13:16:00
jupiter-exchange-solana,0.514873,1573719277,0.8014,0.54274,0.509439,2.0,0.306358,29-08-2025 13:16:00
flare-networks,0.02145371,1543270721,-1.66879,0.02232697,0.02145528,0.150073,0.00827405,29-08-2025 13:16:00
lombard-staked-btc,110253.0,1522498973,-2.30381,113434.0,110022.0,124380.0,52119.0,29-08-2025 13:16:00
quant-network,102.98,1495917130,-1.93072,105.67,102.87,427.42,0.215773,29-08-2025 13:16:00
sky,0.063512,1483575593,-1.45845,0.065017,0.063391,0.100535,0.03582727,29-08-2025 13:16:00
usdtb,1.0,1471991153,0.01122,1.0,0.999698,1.018,0.900502,29-08-2025 13:16:00
polygon-bridged-usdt-polygon,1.0,1406053385,0.00753,1.0,0.999635,1.027,0.945933,29-08-2025 13:16:00
four,3.61,1374035306,2.32393,3.75,3.48,4.19,1.69,29-08-2025 13:16:00
xdce-crowd-sale,0.076895,1364121254,-3.35619,0.080069,0.076379,0.192754,0.00039532,29-08-2025 13:16:00
renzo-restaked-eth,4637.72,1361582051,-3.88738,4878.05,4625.67,5227.06,1454.43,29-08-2025 13:16:00
hash-2,0.0278372,1347534057,7.71523,0.02784038,0.0246323,0.058737,0.01378736,29-08-2025 13:16:00
falcon-finance,0.999812,1339450008,0.00041,1.0,0.999259,1.075,0.943422,29-08-2025 13:16:00
mantle-staked-ether,4705.21,1314377056,-4.87203,4958.89,4710.56,5312.55,1485.62,29-08-2025 13:16:00
injective-protocol,13.32,1297443217,-1.92537,14.16,13.27,52.62,0.657401,29-08-2025 13:16:00
tether-gold,3411.62,1281401448,0.54378,3430.9,3384.81,3530.16,1447.84,29-08-2025 13:16:00
celestia,1.67,1271766857,-2.57328,1.75,1.67,20.85,1.32,29-08-2025 13:16:00
jupiter-staked-sol,236.86,1236357431,-0.96131,246.84,236.61,309.67,105.7,29-08-2025 13:16:00
nexo,1.22,1234954023,-3.8206,1.32,1.23,4.07,0.04515276,29-08-2025 13:16:00
